PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://utahwatergardens.com/service-areas/oakley,"Pond Services in Oakley, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1606,<truncated>,11235,18373899444835508614,0,true
20,https://utahwatergardens.com/service-areas/pepperwood,"Pond Services in Pepperwood, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1594,<truncated>,11461,17411605653376047706,0,true
20,https://utahwatergardens.com/service-areas/eagle-mountain,"Pond Services in Eagle Mountain, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1646,<truncated>,11708,15187010975284855744,0,true
20,https://utahwatergardens.com/service-areas/richfield,"Pond Services in Richfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11401,16924573467298284643,0,true
20,https://utahwatergardens.com/service-areas/orem,"Pond Services in Orem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11277,2579610906526785053,0,true
20,https://utahwatergardens.com/service-areas/woods-cross,"Pond Services in Woods Cross, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1646,<truncated>,11534,15730484596088961556,0,true
20,https://utahwatergardens.com/service-areas/lake-point,"Pond Services in Lake Point, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1670,<truncated>,11585,1288615251513207907,0,true
20,https://utahwatergardens.com/service-areas/millcreek,"Pond Services in Millcreek, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11401,1214025754362477036,0,true
20,https://utahwatergardens.com/team/plant-experts,,text/html; charset=utf-8,true,200,,264,<truncated>,1777,1666821562040387399,0,true
20,https://utahwatergardens.com/service-areas/holladay,"Pond Services in Holladay, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1584,<truncated>,11326,237072887925607926,0,true
20,https://utahwatergardens.com/pond-services/water-quality-testing,"Pond Services in Water Quality Testing, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1702,<truncated>,12071,3626087519632054654,0,true
