Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/clinton,200,Clinton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/lehi,200,Lehi,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/west-jordan,200,West Jordan,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/syracuse,200,Syracuse,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/kaysville,200,Kaysville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/holladay,200,Holladay,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/syracuse,200,Syracuse,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/farmington,200,Farmington,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/sandy,200,Sandy,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/sandy,200,Sandy,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/salt-lake-city,200,Salt Lake City,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/salt-lake-city,200,Salt Lake City,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/west-valley-city,200,West Valley City,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/north-ogden,200,North Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/pleasant-grove,200,Pleasant Grove,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/layton,200,Layton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/kaysville,200,Kaysville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/centerville,200,Centerville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/washington-terrace,200,Washington Terrace,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/layton,200,Layton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/cottonwood-heights,200,Cottonwood Heights,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/springville,200,Springville,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/bountiful,200,Bountiful,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/alpine,200,Alpine,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/north-ogden,200,North Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/farr-west,200,Farr West,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/holladay,200,Holladay,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/riverdale,200,Riverdale,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/pleasant-grove,200,Pleasant Grove,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/american-fork,200,American Fork,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/farmington,200,Farmington,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/springville,200,Springville,1,0,true,false,true,false,true
